sale_express_rules_id,bs_warehouse_id,bs_express_service_id,hangzhou_carrierservice_id,sort_order,max_length,second_length,third_length,volume_weight,volume_weight_v3,any_length_sum,perimeter,girth,gross_weight,two_width_height,volume,remark,auto_refresh_count,erp_sku,enable_flag,sfp_to_general,ctime,mtime
300,MY-DE,DPD>Classic>公司账号自买面单,5,2,LT_120,LT_60,LT_60,,LT_148,,,LT_297,LT_31,,,,,,1,1,1721117609,1762254229
302,MY-DE,DPD>Classic>公司账号自买面单,5,4,LT_175,,,,,,,LT_297,LT_31,,,,,,1,1,1721117609,1762254269
311,MY-DE,DPD>Classic>公司账号自买面单,5,3,LT_120,LT_60,LT_60,,LT_148,,,LT_297,LT_31,,,,,,1,1,1721118237,1762254204
314,MY-DE,DPD>Classic>公司账号自买面单,5,2,LT_120,LT_60,LT_60,,LT_148,,,LT_297,LT_31,,,,,,1,1,1721118447,1762254231
316,MY-DE,DPD>Classic>公司账号自买面单,5,4,LT_175,,,,,,,LT_297,LT_31,,,,,,1,1,1721118447,1762254266
322,MY-KE,DPD>Classic>公司账号自买面单,5,2,LT_120,LT_60,LT_60,,LT_148,,,LT_297,LT_31,,,,,,1,1,1721119469,1762254233
324,MY-KE,DPD>Classic>公司账号自买面单,5,2,LT_120,LT_60,LT_60,,LT_148,,,LT_297,LT_31,,,,,,1,1,1721119569,1762254254
326,MY-KE,DPD>Classic>公司账号自买面单,5,2,LT_120,LT_60,LT_60,,LT_148,,,LT_297,LT_31,,,,,,1,1,1721119650,1762254252
328,MY-KE,DPD>Classic>公司账号自买面单,5,2,LT_120,LT_60,LT_60,,LT_148,,,LT_297,LT_31,,,,,,1,1,1721119740,1762254249
330,MY-KE,DPD>Classic>公司账号自买面单,5,3,LT_120,LT_60,LT_60,,LT_148,,,LT_297,LT_31,,,,,,1,1,1721119950,1762254198
332,MY-KE,DPD>Classic>公司账号自买面单,5,2,LT_120,LT_60,LT_60,,LT_148,,,LT_297,LT_31,,,,,,1,1,1721120168,1762254244
334,MY-KE,DPD>Classic>公司账号自买面单,5,2,LT_120,LT_60,LT_60,,LT_148,,,LT_297,LT_31,,,,,,1,1,1721120404,1762254247
336,MY-KE,DPD>Classic>公司账号自买面单,5,3,LT_120,LT_60,LT_60,,LT_148,,,LT_297,LT_31,,,,,,1,1,1721120510,1762254206
338,MY-KE,DPD>Classic>公司账号自买面单,5,2,LT_120,LT_60,LT_60,,LT_148,,,LT_297,LT_31,,,,,,1,1,1721120596,1762254242
339,MY-KE,DPD>Classic>公司账号自买面单,5,4,LT_175,,,,,,,LT_297,LT_31,,,,,,1,1,1721120684,1762254264
